Instance Hierarchy,Module Name,Fault Coverage (%),Test Coverage (%),RRF Coverage Loss (%),Total Fault Number
top_santiago_cpu,top_santiago_cpu,64.85,64.85,35.15,8154
top_santiago_cpu.uu_alu,alu,49.86,49.86,24.92,4102
top_santiago_cpu.uu_mem,memory,62.66,62.66,9.90,2068
top_santiago_cpu.uu_muxB,mux4_registered,98.71,98.71,0.07,416
top_santiago_cpu.uu_muxB.uu_mux4,mux4,98.41,98.41,0.07,336
top_santiago_cpu.uu_muxB.uu_rb,register_bank,100.00,100.00,0.00,80
top_santiago_cpu.uu_muxA,mux4_registered,98.71,98.71,0.07,416
top_santiago_cpu.uu_muxA.uu_mux4,mux4,98.41,98.41,0.07,336
top_santiago_cpu.uu_muxA.uu_rb,register_bank,100.00,100.00,0.00,80
top_santiago_cpu.uu_ctrl,control,99.96,99.96,0.00,606
